datestr,A_plus,A_minus,B_plus,B_minus,AB_plus,AB_minus,O_plus,O_minus,total
20130312,72,5,33,3,10,1,111,12,247
20130313,85,7,19,3,9,1,107,15,246
20130314,72,5,17,2,9,0,83,7,195
20130315,85,15,25,5,9,1,139,18,297
20130316,57,10,24,3,3,0,78,13,188
20130317,28,5,10,0,0,1,39,11,94
20130318,54,2,18,1,3,0,81,11,170
20130319,56,8,10,4,4,1,83,5,171
20130320,54,6,15,1,4,2,63,14,159
20130321,46,3,26,0,8,1,68,11,163
20130322,58,7,21,6,5,0,88,16,201
20130323,63,4,29,3,5,1,112,8,225
20130324,27,3,9,1,4,0,34,7,85
20130325,66,9,27,1,10,0,85,16,214
20130326,58,4,27,0,7,0,82,16,194
20130327,45,10,23,1,5,0,78,12,174
20130328,46,7,28,4,5,0,80,14,184
20130329,18,3,10,2,3,0,22,1,59
20130330,64,14,32,3,8,0,101,16,238
20130331,23,5,9,2,3,0,36,4,82
20130401,68,9,34,2,7,3,102,14,239
20130402,83,3,31,3,10,0,114,14,258
20130403,80,6,30,4,6,1,86,10,223
20130404,90,10,24,1,9,2,110,17,263
20130405,71,7,34,3,4,1,109,14,243
20130406,46,4,28,2,12,2,90,9,193
20130407,19,3,6,1,4,1,33,2,69
20130408,58,4,31,3,8,0,103,18,225
20130409,76,3,27,5,5,0,124,15,255
20130410,98,10,31,8,12,2,119,22,302
20130411,84,10,48,3,9,0,149,22,325
20130412,60,6,12,8,9,0,112,9,216
20130413,58,10,16,1,9,1,83,14,192
20130414,31,6,9,0,7,0,50,6,109
20130415,71,9,20,2,4,0,108,15,229
20130416,74,6,34,3,12,2,136,14,281
20130417,83,17,28,4,8,1,133,24,298
20130418,70,5,28,5,6,0,95,30,239
20130419,96,14,21,10,7,0,96,17,261
20130420,44,7,25,2,7,0,66,6,157
20130421,29,2,8,1,1,0,46,5,92
20130422,80,9,26,4,7,1,86,18,231
20130423,49,5,24,4,4,0,48,10,144
20130424,50,6,21,1,8,0,72,15,173
20130425,74,8,22,1,5,2,90,23,225
20130426,55,4,15,0,4,1,75,15,169
20130427,45,8,14,3,3,2,63,16,154
20130428,14,3,7,1,1,0,27,4,57
20130429,59,9,41,4,8,1,102,18,242
20130430,104,9,26,3,15,3,132,21,313
20130501,33,6,14,5,2,0,75,10,145
20130502,58,6,28,1,4,0,85,14,196
20130503,66,4,21,1,7,0,101,18,218
20130504,63,2,18,0,5,0,77,15,180
20130505,26,0,17,2,7,0,63,4,119
20130506,63,7,19,2,4,2,94,16,207
20130507,62,4,19,3,4,0,104,17,213
20130508,76,9,30,3,7,0,118,17,260
20130509,70,14,21,6,7,0,110,20,248
20130510,82,6,27,5,12,1,99,17,249
20130511,66,8,25,0,9,1,85,7,201
20130512,25,1,7,0,1,0,37,4,75
20130513,72,10,30,2,6,1,111,13,245
20130514,76,10,30,0,11,1,147,19,294
20130515,79,7,29,2,9,1,124,15,266
20130516,82,6,37,2,11,1,151,24,314
20130517,72,10,28,1,5,0,113,20,249
20130518,47,4,19,1,4,0,89,13,177
20130519,21,2,5,0,2,0,45,4,79
20130520,65,9,28,2,14,0,104,15,237
20130521,65,5,33,1,6,0,110,19,239
20130522,69,6,29,0,8,1,100,14,227
20130523,77,6,30,3,3,0,105,11,235
20130524,70,7,25,1,1,0,100,13,217
20130525,52,1,19,3,9,0,72,8,164
20130526,29,3,7,1,4,1,29,2,76
20130527,81,7,27,5,13,1,127,16,277
20130528,90,9,25,1,14,1,106,14,260
20130529,60,6,15,2,6,0,85,13,187
20130530,43,3,9,0,9,0,43,8,115
20130531,77,2,27,4,7,2,108,12,239
20130601,43,5,21,2,7,0,75,9,162
20130602,24,2,5,2,3,0,29,3,68
20130603,43,7,19,4,4,0,73,10,160
20130604,73,12,24,4,9,1,120,9,252
20130605,72,10,27,2,8,3,102,6,230
20130606,65,4,21,3,8,0,81,7,189
20130607,48,6,31,3,7,2,86,11,194
20130608,33,5,14,0,3,0,56,7,118
20130609,20,3,6,1,1,0,29,6,66
20130610,76,5,25,2,11,0,115,20,254
20130611,57,7,21,2,8,1,103,17,216
20130612,81,7,28,5,14,0,112,14,261
20130613,83,5,36,1,11,1,129,12,278
20130614,84,8,25,6,15,0,142,17,297
20130615,70,5,24,4,7,1,113,19,243
20130616,24,2,11,2,2,0,36,9,86
20130617,88,11,19,4,8,2,166,16,314
20130618,81,7,30,2,8,1,119,18,266
20130619,74,7,22,2,3,0,101,7,216
20130620,65,1,21,2,5,1,83,6,184
20130621,57,9,23,1,10,2,71,11,184
20130622,36,5,17,4,6,1,55,12,136
20130623,25,4,10,1,3,0,34,4,81
20130624,82,11,33,4,7,1,92,13,243
20130625,80,6,29,3,14,1,113,14,260
20130626,72,11,22,0,6,1,99,11,222
20130627,64,6,31,1,5,1,79,7,194
20130628,62,9,28,2,5,1,102,8,217
20130629,70,3,27,4,5,0,85,8,202
20130630,31,4,14,0,4,0,36,3,92
20130701,46,8,18,2,2,1,72,10,159
20130702,93,10,24,2,5,1,114,20,269
20130703,67,6,29,8,8,0,99,16,233
20130704,74,12,24,3,10,0,127,25,275
20130705,65,7,21,3,6,1,98,16,217
20130706,52,8,22,2,7,3,94,10,198
20130707,21,5,5,1,2,0,23,1,58
20130708,66,10,23,3,7,0,104,9,222
20130709,60,11,21,5,7,1,106,15,226
20130710,93,14,45,5,4,2,133,15,311
20130711,28,4,11,1,7,1,55,7,114
20130712,42,7,18,2,3,0,72,11,155
20130713,55,5,23,2,12,1,74,10,182
20130714,17,1,6,2,2,0,35,3,66
