datestr,A_plus,A_minus,B_plus,B_minus,AB_plus,AB_minus,O_plus,O_minus,total
20130715,53,3,20,3,5,0,80,11,175
20130716,66,8,20,0,9,1,94,10,208
20130717,80,6,32,9,10,0,135,24,296
20130718,89,17,31,4,4,0,126,19,290
20130719,87,6,23,1,8,1,116,17,259
20130720,68,7,14,3,7,2,100,13,214
20130721,23,4,11,2,2,0,30,4,76
20130722,49,4,22,1,3,0,81,8,168
20130723,45,3,15,0,4,0,59,10,136
20130724,58,8,13,2,4,0,65,14,164
20130725,27,2,14,2,1,0,41,8,95
20130726,37,4,11,0,5,2,54,8,121
20130727,37,2,10,4,11,0,58,8,130
20130728,14,2,7,0,2,1,13,2,41
20130729,53,5,27,4,6,1,71,9,176
20130730,89,8,21,2,9,0,98,16,243
20130731,64,10,26,4,7,2,105,17,235
20130801,63,7,23,1,6,3,108,24,235
20130802,80,3,27,1,5,1,87,11,215
20130803,74,11,22,6,6,1,117,15,252
20130804,16,2,4,1,4,0,26,14,67
20130805,67,6,29,0,7,4,96,12,221
20130806,58,9,15,3,9,1,68,10,173
20130807,59,11,26,3,13,1,99,16,228
20130808,67,11,30,1,7,0,101,16,233
20130809,56,11,16,3,8,0,101,9,204
20130810,65,5,20,1,5,0,90,13,199
20130811,25,4,8,1,0,0,36,3,77
20130812,71,12,24,0,5,1,90,10,213
20130813,71,6,22,0,8,0,103,11,221
20130814,74,8,24,5,4,0,112,29,256
20130815,66,7,21,3,4,2,94,20,217
20130816,47,5,19,1,6,0,86,20,184
20130817,77,6,26,3,7,3,104,16,242
20130818,26,2,11,0,6,0,46,8,99
20130819,77,10,28,3,9,1,124,13,265
20130820,73,11,39,5,6,1,83,14,232
20130821,73,7,31,5,8,2,125,13,264
20130822,65,4,21,2,8,0,92,12,204
20130823,86,9,30,1,10,2,115,19,272
20130824,59,4,24,5,7,1,78,8,186
20130825,26,1,5,1,5,0,30,8,76
20130826,81,15,36,5,9,1,106,12,265
20130827,66,7,21,2,8,1,61,12,178
20130828,82,10,35,8,12,0,141,20,308
20130829,83,6,21,2,5,1,105,13,236
20130830,62,8,16,4,5,0,73,7,175
20130831,56,8,15,1,9,0,81,12,182
20130901,16,1,9,3,0,1,21,3,54
20130902,39,5,20,1,3,0,71,11,150
20130903,46,6,18,2,7,0,81,8,168
20130904,51,7,14,3,7,0,78,6,166
20130905,41,2,10,3,9,1,45,10,121
20130906,55,6,26,0,8,2,77,6,180
20130907,18,5,11,0,3,1,23,3,64
20130908,14,2,9,1,1,0,28,8,63
20130909,81,8,30,5,6,2,120,16,268
20130910,61,4,25,1,3,0,97,19,210
20130911,67,6,31,1,2,1,91,12,211
20130912,78,5,17,1,5,0,98,15,219
20130913,82,11,30,7,8,2,122,17,279
20130914,61,7,12,4,4,0,99,15,202
20130915,16,2,7,0,3,1,29,3,61
20130916,53,4,20,0,5,0,93,9,184
20130917,82,6,27,4,5,0,101,7,232
20130918,67,4,17,5,7,2,112,12,226
20130919,78,12,20,6,7,1,114,19,257
20130920,66,7,22,4,5,0,90,17,211
20130921,94,10,28,9,6,2,99,10,258
20130922,22,2,3,1,1,1,18,3,51
20130923,64,10,22,1,11,2,99,16,225
20130924,59,8,28,3,1,2,75,12,188
20130925,72,12,34,3,13,1,96,17,248
20130926,90,9,27,1,8,1,117,19,272
20130927,91,6,24,6,15,0,124,19,285
20130928,53,4,12,2,5,2,77,9,164
20130929,15,1,11,1,0,0,31,6,65
20130930,86,6,30,5,9,1,91,13,241
20131001,63,7,34,2,9,1,103,14,233
20131002,54,4,17,0,7,0,58,4,144
20131003,62,6,17,4,7,0,85,10,191
20131004,53,5,28,4,6,2,76,9,183
20131005,42,6,12,4,6,0,60,9,139
20131006,29,3,8,0,4,0,48,10,102
20131007,69,9,22,1,6,2,97,18,224
20131008,61,6,18,0,7,0,83,12,187
20131009,88,10,24,4,5,0,109,23,263
20131010,81,7,27,1,8,1,104,18,247
20131011,68,6,20,4,7,1,88,16,210
20131012,46,4,6,1,2,1,42,8,110
20131013,13,3,8,2,1,0,18,3,48
20131014,78,14,16,1,8,0,92,18,227
20131015,78,10,37,1,6,1,129,19,281
20131016,53,6,23,4,3,2,70,14,175
20131017,65,13,27,4,8,0,99,20,236
20131018,60,9,22,2,5,3,102,13,216
20131019,38,3,23,5,3,0,64,11,147
20131020,23,1,2,1,1,0,18,9,55
20131021,70,7,27,2,7,0,94,14,221
20131022,66,6,23,7,7,0,96,11,216
20131023,60,11,18,3,7,0,93,10,202
20131024,42,3,26,2,4,0,81,8,166
20131025,60,5,30,3,9,0,87,13,207
20131026,41,8,17,1,7,0,75,8,157
20131027,22,3,2,1,0,0,18,2,48
20131028,50,5,18,2,7,2,103,12,199
20131029,58,8,16,2,7,1,110,14,216
20131030,75,9,34,4,10,1,108,18,259
20131031,42,5,25,1,6,1,103,9,192
20131101,61,5,28,3,7,1,98,16,219
20131102,58,9,20,2,5,0,78,13,185
20131103,22,1,7,1,1,1,33,0,66
20131104,63,8,20,0,5,1,78,14,189
20131105,52,3,16,3,5,2,79,14,174
20131106,47,5,18,1,4,1,67,7,150
20131107,38,2,16,6,5,0,71,12,150
20131108,62,8,17,2,3,1,80,9,182
20131109,58,5,19,4,5,2,71,15,179
20131110,20,3,6,0,0,0,35,8,72
20131111,76,9,34,1,11,1,113,20,265
20131112,45,4,23,1,8,0,72,6,159
20131113,68,10,27,2,5,0,100,17,229
20131114,61,10,24,3,7,1,60,11,177
20131115,22,0,9,1,2,0,44,3,81
20131116,38,2,8,3,6,0,67,8,132
20131117,20,1,2,0,0,0,14,1,38
20131118,70,10,22,0,7,0,80,4,193
20131119,41,4,17,1,3,0,67,11,144
20131120,38,2,17,1,5,1,59,13,136
20131121,42,3,18,0,8,0,49,12,132
20131122,52,9,18,4,6,1,71,10,171
20131123,52,6,14,0,6,0,81,13,172
20131124,35,2,6,0,2,1,38,10,94
20131125,167,20,46,5,11,0,220,41,510
20131126,164,24,55,3,22,2,259,33,562
20131127,71,7,29,5,10,0,121,12,255
20131128,71,11,28,2,5,1,83,11,212
20131129,75,8,32,2,12,1,112,19,261
20131130,74,5,28,2,9,0,104,16,238
20131201,26,1,13,0,2,0,35,7,84
20131202,66,7,21,1,6,1,101,15,218
20131203,59,11,21,1,9,0,78,12,191
20131204,48,3,19,2,8,1,94,13,188
20131205,55,13,23,1,6,0,94,19,211
20131206,79,7,27,2,8,0,103,18,244
20131207,64,11,21,1,6,1,79,15,198
20131208,22,3,6,1,5,0,34,4,75
20131209,56,7,24,3,7,1,74,10,182
20131210,49,5,17,3,7,0,60,5,146
20131211,12,0,10,0,1,1,31,6,61
20131212,69,4,16,2,3,1,73,13,181
20131213,53,4,9,5,5,1,58,10,145
20131214,72,6,18,2,9,1,101,5,214
20131215,24,1,6,2,2,1,36,3,75
20131216,51,9,24,2,4,2,84,14,190
20131217,67,5,15,3,3,1,79,11,184
20131218,62,9,26,3,6,0,70,11,187
20131219,41,4,18,3,3,1,56,14,140
20131220,71,5,27,3,9,0,93,16,224
20131221,41,6,19,0,4,2,73,10,155
20131222,17,2,2,0,2,0,32,3,58
20131223,43,4,15,3,6,2,59,11,143
20131224,50,11,18,4,3,3,59,7,155
20131225,8,4,6,1,0,0,17,1,37
20131226,61,8,18,5,4,0,77,10,183
20131227,64,5,33,5,8,1,113,15,244
20131228,53,3,20,2,8,1,77,11,175
20131229,27,2,10,2,1,1,37,5,85
20131230,81,9,25,4,7,0,103,27,256
20131231,96,12,41,1,13,1,162,13,339
20140101,0,0,0,0,0,0,0,0,0
20140102,44,2,24,0,8,0,87,9,174
20140103,77,10,29,1,1,0,86,5,209
20140104,52,5,15,3,9,1,63,9,157
20140105,17,2,3,1,1,0,18,11,53
20140106,47,7,18,7,9,0,67,12,167
20140107,65,9,18,4,9,2,91,19,217
20140108,45,5,15,2,9,1,72,14,163
20140109,50,5,20,2,9,1,76,11,174
20140110,75,12,26,1,6,1,92,13,226
20140111,50,7,19,3,3,0,57,5,144
20140112,16,2,5,2,1,0,25,2,53
20140113,66,7,24,2,9,0,100,9,217
20140114,47,3,26,1,9,1,83,11,181
20140115,68,7,24,4,6,1,94,13,217
20140116,62,5,32,2,10,1,97,10,219
20140117,80,6,28,3,8,0,93,9,227
20140118,47,7,14,3,2,0,81,11,165
20140119,22,2,8,1,1,0,24,9,67
20140120,43,6,10,2,2,1,48,8,120
20140121,57,4,28,0,7,0,101,17,214
20140122,56,2,27,3,9,2,80,9,188
20140123,67,8,14,2,2,0,82,11,186
20140124,59,9,30,4,8,0,72,16,198
20140125,108,11,34,4,17,2,172,22,370
20140126,35,0,10,1,5,0,39,10,100
20140127,74,9,23,3,13,1,109,11,243
20140128,69,5,31,5,7,1,111,23,252
20140129,56,6,32,5,5,0,78,11,193
20140130,66,1,25,7,5,0,103,10,217
20140131,68,5,28,2,8,1,121,17,250
20140201,111,16,50,4,19,0,164,25,389
20140202,19,6,19,1,0,1,37,9,92
20140203,66,3,23,2,4,0,94,15,207
20140204,50,4,15,3,8,1,62,13,156
20140205,69,12,37,4,9,1,123,18,273
20140206,75,6,30,0,3,1,78,18,211
20140207,62,7,23,2,6,0,110,19,229
20140208,57,11,24,3,5,1,96,12,209
20140209,29,6,10,2,1,1,73,10,132
20140210,75,13,38,3,4,0,103,17,253
20140211,64,7,15,4,1,1,87,10,189
20140212,77,10,56,3,7,0,124,17,294
20140213,59,8,30,5,5,2,123,19,251
20140214,59,18,23,4,6,1,105,12,228
20140215,66,5,25,1,6,4,108,11,226
20140216,15,3,9,0,2,0,38,5,72
20140217,87,10,32,4,12,1,117,18,281
20140218,48,5,25,1,7,2,71,11,170
20140219,88,7,27,3,6,0,116,16,263
20140220,65,5,26,2,6,2,95,10,211
20140221,76,8,29,5,5,1,96,9,229
20140222,69,8,22,2,5,1,112,17,236
20140223,30,3,13,1,2,0,46,9,104
20140224,77,7,35,3,8,0,93,10,233
20140225,59,11,21,3,8,3,109,9,223
20140226,115,11,22,5,10,5,127,12,307
20140227,83,10,37,6,10,0,120,18,284
20140228,61,9,21,6,5,2,107,16,227
20140301,48,4,17,0,1,1,63,5,139
20140302,29,3,15,1,1,0,39,8,96
20140303,67,6,22,3,5,0,111,12,226
20140304,38,5,16,3,5,1,68,7,143
20140305,44,3,17,1,5,1,61,9,141
20140306,47,2,17,1,6,2,78,6,159
20140307,72,5,34,3,10,1,107,19,251
20140308,72,4,30,4,10,1,78,9,208
20140309,20,2,4,0,3,0,16,8,53
20140310,69,7,33,4,7,1,92,17,230
20140311,66,8,30,7,10,0,110,12,243
20140312,79,6,32,2,7,1,102,28,257
20140313,83,8,34,0,7,1,95,14,242
20140314,80,11,27,3,13,1,123,19,277
20140315,77,5,27,0,12,0,94,15,230
20140316,22,2,4,0,1,0,28,1,58
20140317,77,10,28,5,9,3,104,14,250
20140318,51,8,19,1,5,0,75,14,173
20140319,118,15,34,6,14,1,173,25,386
20140320,74,6,20,4,5,0,99,14,222
20140321,86,11,22,1,4,0,85,10,219
20140322,62,9,25,0,5,2,106,16,225
20140323,42,8,12,2,3,1,53,9,130
20140324,79,6,16,4,7,0,87,10,209
20140325,62,6,17,3,7,1,114,19,229
20140326,67,12,33,1,5,0,99,14,231
20140327,68,11,23,1,6,1,98,17,225
20140328,71,6,20,1,6,2,92,11,209
20140329,83,10,32,3,11,1,104,16,260
20140330,35,1,4,0,3,1,39,2,85
20140331,43,5,24,3,7,0,91,17,190
20140401,77,12,24,4,11,1,132,14,275
20140402,69,7,25,1,6,1,91,13,213
20140403,52,7,22,0,2,2,81,9,175
20140404,47,6,31,2,9,2,77,9,183
20140405,75,10,25,3,10,2,105,9,239
20140406,22,6,6,0,1,0,23,5,63
20140407,63,7,21,2,5,2,93,8,201
20140408,79,11,33,4,10,0,113,19,269
20140409,50,9,23,3,7,0,106,18,216
20140410,54,12,8,1,5,0,50,11,141
20140411,57,11,23,2,5,0,97,16,211
20140412,49,2,21,2,1,0,67,7,149
20140413,17,3,4,0,4,0,24,5,57
20140414,36,4,16,1,4,0,62,8,131
20140415,38,4,14,0,6,0,50,5,117
20140416,36,6,19,2,3,0,59,11,136
20140417,34,5,13,1,3,0,46,9,111
20140418,22,4,13,1,2,0,36,10,88
20140419,61,3,26,4,4,1,59,15,173
20140420,17,2,8,0,1,1,26,3,58
20140421,30,2,14,1,4,1,40,3,95
20140422,79,11,29,3,4,1,91,23,241
20140423,37,3,18,2,3,0,55,6,124
20140424,24,4,16,1,5,0,72,9,131
20140425,48,3,18,3,5,0,76,14,167
20140426,46,7,25,3,7,2,87,11,188
20140427,25,3,9,2,1,1,24,7,72
20140428,83,9,35,5,5,3,117,13,270
20140429,88,15,26,3,14,1,114,12,273
20140430,88,8,29,4,11,1,130,22,293
20140501,58,7,26,3,6,2,87,8,197
20140502,81,6,30,2,10,0,100,12,241
20140503,51,9,20,2,4,1,87,20,194
20140504,22,4,13,2,2,0,32,14,89
20140505,55,3,18,3,6,0,75,6,166
20140506,50,4,21,3,9,0,64,13,164
20140507,76,7,25,4,11,0,107,12,242
20140508,30,5,16,1,3,0,52,8,115
20140509,53,4,22,2,3,3,94,15,196
20140510,41,3,15,5,9,0,76,9,158
20140511,24,3,7,1,1,1,22,5,64
20140512,72,5,24,1,9,0,109,15,235
20140513,37,0,13,1,5,0,54,3,113
20140514,40,2,16,0,6,0,60,15,139
20140515,68,4,26,1,5,3,81,11,199
20140516,57,8,19,4,5,0,96,21,210
20140517,78,12,25,5,10,5,97,15,247
20140518,23,4,12,1,3,0,34,8,85
20140519,66,6,22,3,6,1,107,19,230
20140520,85,11,28,1,4,1,135,18,283
20140521,93,11,32,4,9,1,108,11,269
20140522,99,15,29,3,7,1,150,20,324
20140523,95,7,42,1,12,2,134,12,305
20140524,50,9,26,2,9,1,100,20,217
20140525,27,2,5,1,0,1,28,11,75
20140526,87,14,26,4,5,0,108,16,260
20140527,87,15,22,1,11,0,99,15,250
20140528,48,2,16,2,5,0,66,15,154
20140529,67,6,23,3,5,0,82,15,201
20140530,67,12,17,7,4,0,98,22,227
20140531,85,12,25,2,6,1,121,15,267
20140601,37,2,11,0,2,0,67,4,123
20140602,67,6,19,0,7,0,122,15,236
20140603,85,7,22,4,4,4,103,13,242
20140604,75,7,29,1,2,1,110,15,240
20140605,74,10,18,3,7,0,99,18,229
20140606,66,10,23,3,9,2,110,18,241
20140607,38,8,21,1,3,1,75,7,154
20140608,18,6,7,3,1,1,36,7,79
20140609,82,6,23,5,6,1,88,9,220
20140610,32,11,11,0,3,0,59,9,125
20140611,47,5,17,2,5,0,66,11,153
20140612,26,3,6,0,4,0,40,7,86
20140613,65,2,28,2,5,0,72,18,192
20140614,70,5,25,6,10,1,111,16,244
20140615,25,3,8,1,4,0,40,3,84
20140616,56,3,16,0,2,1,66,8,152
20140617,33,4,10,0,3,1,54,5,110
20140618,39,6,15,0,5,1,47,7,120
20140619,32,0,6,4,1,0,46,5,94
20140620,57,10,18,2,4,0,74,10,175
20140621,46,6,21,4,8,0,75,12,172
20140622,25,3,9,1,2,0,32,5,77
20140623,19,5,10,0,4,0,41,3,82
20140624,53,5,20,1,5,0,86,13,183
20140625,38,3,8,1,2,0,36,7,95
20140626,33,4,22,3,5,1,51,18,137
20140627,58,7,26,2,7,1,92,6,199
20140628,35,4,14,0,4,0,46,3,106
20140629,18,4,5,0,1,0,18,6,52
20140630,54,4,34,1,5,0,81,16,195
20140701,48,7,20,1,9,0,96,17,198
20140702,64,6,21,3,10,0,88,17,209
20140703,84,9,27,5,4,2,81,16,228
20140704,31,3,12,0,5,0,43,9,103
20140705,34,3,7,0,4,0,53,3,104
20140706,14,2,5,1,1,0,19,3,45
20140707,41,9,19,2,9,1,57,7,145
20140708,37,4,14,0,3,1,48,8,115
20140709,54,3,18,2,3,0,67,7,154
20140710,60,5,23,1,10,1,96,17,213
20140711,74,6,20,4,4,0,102,22,232
20140712,46,11,13,2,3,0,63,8,146
20140713,11,1,6,0,0,0,22,3,43
20140714,32,5,18,0,5,0,67,8,135
20140715,50,4,21,3,6,1,77,9,171
20140716,58,7,26,1,8,1,116,16,233
20140717,64,7,19,1,5,3,84,16,199
20140718,59,4,23,2,1,0,75,14,178
20140719,62,2,14,2,8,0,74,12,174
20140720,17,2,6,0,2,0,28,3,58
20140721,42,9,27,1,8,0,78,11,176
20140722,59,12,19,2,4,0,98,12,206
20140723,87,12,28,3,8,0,122,20,280
20140724,50,6,19,1,7,2,81,12,178
20140725,66,11,28,2,7,0,80,12,206
20140726,52,6,19,2,3,0,89,10,181
20140727,15,2,4,1,0,0,25,5,52
20140728,42,5,16,1,8,0,72,10,154
20140729,46,5,23,2,8,1,62,9,156
20140730,58,6,23,2,7,0,77,9,182
20140731,53,10,32,4,6,2,99,8,214
20140801,67,10,27,1,8,1,101,8,223
20140802,44,7,15,1,3,0,56,9,135
20140803,25,1,7,0,3,0,39,7,82
20140804,45,9,15,1,9,0,59,10,148
20140805,85,9,26,3,3,1,98,13,238
20140806,48,2,24,1,5,0,75,17,172
20140807,39,7,23,1,2,1,59,14,146
20140808,81,10,24,4,9,1,88,14,231
20140809,42,4,16,1,2,0,71,6,142
20140810,16,1,7,1,0,0,22,3,50
20140811,68,9,26,4,4,1,113,17,242
20140812,71,3,32,4,5,0,103,15,233
20140813,53,7,17,6,3,0,85,14,185
20140814,38,3,18,1,1,1,55,9,126
20140815,53,9,13,1,6,0,59,11,152
20140816,44,5,9,1,6,0,65,11,141
20140817,14,1,10,0,4,1,46,5,81
20140818,61,5,29,7,8,0,76,22,208
20140819,98,16,25,0,16,2,123,23,303
20140820,54,10,17,6,5,1,71,8,172
20140821,63,12,15,4,10,2,94,13,213
20140822,50,5,26,3,6,2,65,18,175
20140823,68,9,17,2,12,0,95,15,218
20140824,20,3,8,1,4,0,26,5,67
20140825,93,10,32,8,6,0,113,14,276
20140826,77,10,16,2,8,1,113,23,250
20140827,105,10,26,3,12,4,126,9,295
20140828,72,9,21,3,10,1,96,18,230
20140829,92,10,18,6,5,0,109,8,248
20140830,68,6,20,1,9,0,95,15,214
20140831,18,0,4,2,0,0,21,6,51
20140901,85,11,26,4,11,2,111,16,266
20140902,73,8,16,3,10,0,94,10,214
20140903,67,7,10,1,3,2,74,13,177
20140904,58,7,25,2,6,1,93,13,205
20140905,46,10,15,2,6,0,80,8,167
20140906,42,5,16,1,1,1,67,16,149
20140907,26,3,6,0,2,1,29,4,71
20140908,48,6,17,2,4,1,62,9,149
20140909,65,8,29,2,8,0,89,21,222
20140910,77,9,28,3,4,1,96,14,232
20140911,73,9,25,1,11,1,88,11,219
20140912,59,3,31,1,7,1,82,9,193
20140913,62,10,23,2,8,0,92,17,214
20140914,16,5,7,3,2,1,27,4,65
20140915,68,11,24,0,14,3,84,8,212
20140916,76,7,23,2,3,1,101,26,239
20140917,72,6,24,7,8,1,115,21,254
20140918,67,7,22,2,1,0,81,13,193
20140919,82,11,23,1,13,0,110,17,257
20140920,75,5,29,4,13,1,91,11,229
20140921,15,1,3,1,1,0,33,6,60
20140922,45,6,20,0,6,1,59,4,141
20140923,46,4,21,2,5,0,98,11,187
20140924,50,11,29,5,8,0,89,11,203
20140925,55,7,17,3,5,2,93,11,193
20140926,74,7,22,0,3,1,104,10,221
20140927,46,7,15,1,12,0,96,23,200
20140928,13,4,10,0,2,0,25,4,58
20140929,74,7,23,2,5,1,77,19,208
20140930,90,11,38,0,13,0,108,22,282
20141001,68,7,22,0,7,1,91,14,210
20141002,63,4,22,2,6,0,80,6,183
20141003,69,9,29,0,6,1,122,16,252
20141004,87,10,15,3,8,1,94,13,231
20141005,7,3,1,1,2,1,16,3,34
20141006,57,5,19,2,2,1,68,11,165
20141007,64,15,30,1,10,0,102,11,233
20141008,79,12,23,7,10,5,97,23,256
20141009,73,11,25,3,10,12,118,25,277
20141010,56,7,18,2,5,5,82,14,189
20141011,51,13,14,2,3,1,107,15,206
20141012,22,5,11,1,5,2,48,2,96
20141013,45,1,19,2,5,0,72,10,154
20141014,69,4,16,0,7,2,77,12,187
20141015,48,4,13,3,6,0,85,13,172
20141016,58,2,15,6,6,5,70,9,171
20141017,57,6,27,5,16,10,94,19,234
20141018,35,4,13,2,2,6,61,13,136
20141019,33,3,12,2,1,3,28,5,87
20141020,50,11,21,5,6,5,70,10,178
20141021,42,4,22,3,8,5,63,4,151
20141022,50,6,15,4,3,0,71,7,156
20141023,79,14,29,4,7,1,102,16,252
20141024,64,7,30,3,8,1,104,7,224
20141025,83,8,23,2,4,2,81,11,214
20141026,10,0,1,0,1,1,20,8,41
20141027,46,4,27,2,6,0,91,11,187
20141028,48,4,14,0,2,1,81,8,158
20141029,54,5,22,6,6,5,56,8,162
20141030,67,9,30,2,4,0,82,15,209
20141031,79,4,21,5,11,1,98,11,230
20141101,70,11,25,1,7,2,81,14,211
20141102,21,2,9,0,1,1,29,5,68
20141103,49,6,17,0,5,1,67,9,154
20141104,39,5,19,2,4,1,65,14,149
20141105,49,4,13,4,10,0,75,8,163
20141106,50,9,13,2,5,1,53,5,138
20141107,48,7,22,0,3,0,64,7,151
20141108,30,3,16,1,2,0,46,12,110
20141109,25,1,3,1,1,0,21,4,56
20141110,51,9,13,1,5,1,84,10,174
20141111,50,4,19,2,4,0,66,7,152
20141112,56,3,22,0,9,1,82,13,186
20141113,76,11,38,5,7,2,82,18,239
20141114,63,9,20,1,7,0,85,17,202
20141115,27,2,10,0,3,1,28,6,77
20141116,11,3,7,0,0,0,29,1,51
20141117,53,5,20,0,8,1,76,12,175
20141118,55,10,25,2,5,0,99,20,216
20141119,52,4,12,5,7,2,64,10,156
20141120,26,5,4,1,1,0,60,7,104
20141121,59,4,18,1,9,1,90,10,192
20141122,51,6,17,0,4,0,78,10,166
20141123,16,0,1,1,2,0,22,4,46
20141124,64,7,17,6,6,0,61,10,171
20141125,180,28,57,5,17,3,280,53,623
20141126,191,21,54,7,25,2,245,25,570
20141127,59,3,27,1,3,1,83,13,190
20141128,75,11,16,2,5,0,87,20,216
20141129,91,11,24,3,8,1,140,21,299
20141130,25,0,5,1,2,1,32,5,71
20141201,52,3,15,0,4,0,100,11,185
20141202,57,4,20,3,10,1,102,11,208
20141203,56,7,29,3,3,0,94,12,204
20141204,42,5,28,2,4,4,81,14,180
20141205,59,10,22,3,8,2,91,10,205
20141206,49,13,22,1,5,1,77,16,184
20141207,24,5,9,0,0,0,38,4,80
20141208,74,8,28,4,4,0,95,15,228
20141209,47,6,23,3,4,5,67,7,162
20141210,75,6,20,1,7,3,77,9,198
20141211,49,5,22,3,7,6,79,13,184
20141212,49,5,16,3,9,2,84,16,184
20141213,54,7,19,1,5,0,65,13,164
20141214,28,4,13,0,6,0,32,2,85
20141215,52,4,13,4,2,0,65,8,148
20141216,67,3,20,3,5,3,68,8,177
20141217,62,9,21,4,8,1,81,9,195
20141218,36,7,20,0,5,1,72,15,156
20141219,43,5,13,3,4,1,66,14,149
20141220,77,8,24,1,4,1,86,12,213
20141221,22,2,11,1,3,1,22,3,65
20141222,41,7,17,0,1,0,67,11,144
20141223,59,4,18,4,1,0,75,8,169
20141224,31,1,15,0,0,1,55,1,104
20141225,9,3,2,2,0,0,12,1,29
20141226,51,4,13,3,8,1,82,7,169
20141227,47,3,16,1,6,1,57,12,143
20141228,16,0,11,2,3,0,38,3,73
20141229,45,8,20,5,3,0,79,11,171
20141230,64,5,25,2,8,0,74,11,189
20141231,126,17,52,2,8,0,140,16,361
20150101,0,0,0,0,0,0,0,0,0
20150102,62,4,20,3,7,0,107,8,211
20150103,31,7,17,0,2,0,59,8,124
20150104,12,0,6,0,1,0,22,3,44
20150105,52,6,27,2,7,1,79,6,180
20150106,55,8,23,2,9,3,88,8,196
20150107,54,5,18,1,11,3,97,8,197
20150108,54,6,27,3,6,3,65,11,175
20150109,59,5,22,0,13,0,96,10,205
20150110,55,6,15,2,8,1,66,7,160
20150111,20,2,9,2,2,0,24,0,59
20150112,47,4,26,1,11,0,74,10,173
20150113,57,2,16,2,7,1,70,13,168
20150114,53,3,15,4,4,0,62,11,152
20150115,53,7,17,3,3,0,79,9,171
20150116,61,5,21,1,7,0,82,7,184
20150117,65,6,25,1,8,2,54,13,174
20150118,24,3,9,1,1,2,30,8,78
20150119,70,13,28,2,9,0,94,12,228
20150120,51,6,9,2,7,0,37,3,115
20150121,67,9,34,2,5,0,83,17,217
20150122,54,11,24,1,4,0,82,13,189
20150123,70,12,37,5,11,1,127,23,286
20150124,79,16,29,0,6,1,99,16,246
20150125,30,4,7,0,2,0,27,2,72
20150126,63,7,27,2,10,2,107,19,237
20150127,53,5,23,1,3,0,85,10,180
20150128,66,3,16,4,1,1,101,15,207
20150129,64,4,38,3,6,0,87,14,216
20150130,83,10,34,4,13,3,122,14,283
20150131,60,6,18,3,4,1,70,20,182
20150201,17,3,3,0,2,3,32,4,64
20150202,75,7,19,3,12,2,103,24,245
20150203,91,11,35,2,5,0,109,25,278
20150204,93,15,35,5,8,2,156,16,330
20150205,58,6,25,2,10,0,78,9,188
20150206,62,8,24,8,2,1,79,13,197
20150207,91,7,28,3,5,0,114,9,257
20150208,27,3,10,2,5,0,26,8,81
20150209,75,10,21,3,6,0,84,16,215
20150210,71,10,26,4,10,0,91,12,224
20150211,91,7,24,5,11,1,130,20,289
20150212,66,6,26,1,10,3,106,14,232
20150213,81,10,30,4,7,2,115,18,267
20150214,37,9,20,2,2,1,61,18,150
20150215,22,0,8,0,3,4,30,6,73
20150216,57,6,25,2,6,0,87,4,187
20150217,17,3,13,3,4,0,25,2,67
20150218,41,4,16,2,6,0,49,11,129
20150219,44,7,21,0,4,1,69,14,160
20150220,74,5,23,1,7,1,103,18,232
20150221,62,10,16,3,7,0,87,11,196
20150222,35,2,5,0,2,0,50,6,100
20150223,60,7,28,3,9,1,86,10,204
20150224,89,6,25,1,4,0,114,17,256
20150225,71,13,25,3,6,0,109,12,239
20150226,72,9,32,1,7,0,106,17,244
20150227,76,3,27,4,13,1,115,10,249
20150228,74,4,30,3,8,1,99,15,234
20150301,30,1,10,2,6,0,36,5,90
20150302,77,6,21,4,11,0,78,7,204
20150303,59,7,15,2,9,1,74,13,180
20150304,61,5,19,4,7,1,87,8,192
20150305,74,14,25,3,6,0,102,19,243
20150306,63,13,20,3,3,0,94,16,212
20150307,84,12,36,1,11,0,93,22,259
20150308,31,4,14,0,4,0,41,5,99
20150309,74,8,34,3,6,0,84,12,221
20150310,50,4,19,3,6,2,71,18,173
20150311,63,6,18,1,4,0,83,18,193
20150312,67,3,24,2,7,1,96,16,216
20150313,78,5,22,1,12,0,94,12,224
20150314,66,14,27,1,6,1,90,18,223
20150315,24,0,2,1,4,0,33,6,70
20150316,59,13,15,1,8,1,86,22,205
20150317,93,10,18,0,12,0,112,18,263
20150318,60,9,19,5,7,0,87,21,208
20150319,70,9,22,1,5,4,83,16,210
20150320,91,14,33,2,14,0,126,25,305
20150321,48,6,21,4,9,1,104,14,207
20150322,26,4,19,0,4,1,50,12,116
20150323,74,11,14,2,13,2,103,15,234
20150324,68,6,26,3,7,3,90,12,215
20150325,68,9,20,2,14,1,88,8,210
20150326,69,9,31,2,6,0,107,24,248
20150327,57,11,22,3,7,1,79,17,197
20150328,50,10,19,2,7,0,73,15,176
20150329,21,1,6,1,1,0,33,6,69
20150330,72,4,31,2,6,2,102,16,235
20150331,74,3,33,5,13,0,105,19,252
20150401,38,4,20,1,10,1,78,10,162
20150402,37,6,21,4,8,1,72,10,159
20150403,31,4,8,4,4,0,50,5,106
20150404,35,4,10,4,10,2,67,6,138
20150405,21,2,6,1,1,1,27,6,65
20150406,54,9,19,1,2,2,78,17,182
20150407,60,9,28,1,4,0,84,7,193
20150408,57,7,19,4,9,2,97,10,205
20150409,78,6,36,2,18,2,109,12,263
